Bank_Code,Process_Date,Version,EntitySource,Account,Description,Basel_In,Basel_Segment,Credit_Conversion_Factor,Balance_Off_Sheet,Sens_Code,Is_Commitment,Is_Provision,Is_Doubtful,Is_Accrued_Interest,Sign,Exposition_Type,Is_security,Cmdr_In,Cmdr_Conversion_Factor,Cmdr_Sens_Code,Cmdr_Weighting,Is_Doubtful_Excluded,Basel_Category,Is_Mortgage
SGMA001,2023-12-29,1,SGMA,101101,BILLETS ET MONNAIES,1,S1101,NULL,B,I,0,NULL,NULL,NULL,+,1,0,0,NULL,I,NULL,1,B9999,NULL
SGMA001,2023-12-29,1,SGMA,101501,BILLETS ETRANGERS,1,S1101,NULL,B,I,0,NULL,NULL,NULL,+,1,0,0,NULL,I,NULL,1,B9999,NULL
SGMA001,2023-12-29,1,SGMA,101502,BILLETS ETRANGERS EN ROUTE,1,S1101,NULL,B,I,0,NULL,NULL,NULL,+,1,0,0,NULL,I,NULL,1,B9999,NULL
SGMA001,2023-12-29,1,SGMA,101504,CAISSE DEVISES BUREAU DE,1,S1101,NULL,B,I,0,NULL,NULL,NULL,+,1,0,0,NULL,I,NULL,1,B9999,NULL
SGMA001,2023-12-29,1,SGMA,111102,COMPTE BAM ACHAT TITRES BOURSE,1,S0101,NULL,B,I,0,NULL,NULL,NULL,+,1,0,1,NULL,I,NULL,1,NULL,NULL
SGMA001,2023-12-29,1,SGMA,111103,COMPTE BAM BIS VENTE TITRES,1,S0101,NULL,B,I,0,NULL,NULL,NULL,+,1,0,1,NULL,I,NULL,1,NULL,NULL
SGMA001,2023-12-29,1,SGMA,111105,BAM COMPTE CENTRAL DE RèGLEMEN,1,S0101,NULL,B,I,1,0,0,NULL,+,1,0,1,NULL,I,NULL,1,NULL,NULL
SGMA001,2023-12-29,1,SGMA,121803,INTERETS à RECEVOIR SUR CCD SF,1,NULL,NULL,B,I,0,NULL,NULL,NULL,+,1,0,1,NULL,I,NULL,NULL,NULL,NULL
SGMA001,2023-12-29,1,SGMA,133213,PRET JJ EN DEVISE AUPRES DES,1,S0401,NULL,B,I,0,NULL,NULL,NULL,+,1,0,1,NULL,I,0,NULL,B0201,NULL
SGMA001,2023-12-29,1,SGMA,133214,PRET JJ AUPRES ECA EN MAD,1,S0401,NULL,B,I,0,NULL,NULL,NULL,+,1,0,1,NULL,I,0,NULL,B0201,NULL
SGMA001,2023-12-29,1,SGMA,133804,INTERETS COURUS A RECEVOIR/PRE,1,S0406,NULL,B,I,0,NULL,NULL,NULL,+,1,0,1,NULL,I,0,NULL,B0201,NULL
SGMA001,2023-12-29,1,SGMA,133805,INTERETS COURUS A RECEVOIR/,1,S0406,NULL,B,I,0,NULL,NULL,NULL,+,1,0,1,NULL,I,0,NULL,B0201,NULL
SGMA001,2023-12-29,1,SGMA,134226,PRET A TERME EN DHS AUPRES ECA,1,S0406,NULL,B,I,0,NULL,0,NULL,+,1,0,1,NULL,I,NULL,NULL,B0201,NULL
SGMA001,2023-12-29,1,SGMA,134231,PRET A TERME AUPRES DES BANQUE,1,S0406,NULL,B,I,1,0,0,NULL,+,1,0,1,NULL,I,NULL,NULL,B0201,NULL
SGMA001,2023-12-29,1,SGMA,134806,INTER A RECEVOIR/PRET,1,S0406,NULL,B,I,0,NULL,NULL,NULL,+,1,0,1,NULL,I,NULL,NULL,B0201,NULL
